Threads,time_seconds,Time,Energy,CO2eq,travelled
2,119.92,0:02:07,0.0094,4.4804,0.0417
4,124.88,0:02:09,0.0101,4.7969,0.0446
6,127.80,0:02:12,0.0107,5.0782,0.0472
8,127.83,0:02:11,0.0110,5.2469,0.0488
10,125.03,0:02:08,0.0111,5.2579,0.0489
12,122.77,0:02:06,0.0110,5.2088,0.0485
14,106.95,0:01:50,0.0098,4.6539,0.0433
16,93.41,0:01:36,0.0088,4.1977,0.0390
18,83.36,0:01:25,0.0082,3.8873,0.0362
20,75.30,0:01:17,0.0078,3.6813,0.0342
22,68.78,0:01:11,0.0074,3.4982,0.0325
24,63.43,0:01:05,0.0071,3.3691,0.0313
26,68.90,0:01:11,0.0074,3.5284,0.0328
28,73.62,0:01:15,0.0078,3.6993,0.0344
30,77.53,0:01:19,0.0081,3.8274,0.0356
32,81.12,0:01:23,0.0083,3.9529,0.0368
34,82.70,0:01:25,0.0084,4.0098,0.0373
36,86.69,0:01:29,0.0087,4.1103,0.0382
38,82.32,0:01:24,0.0083,3.9538,0.0368
40,78.01,0:01:20,0.0080,3.8167,0.0355
42,75.74,0:01:18,0.0079,3.7648,0.0350
44,70.91,0:01:13,0.0076,3.6236,0.0337
46,68.09,0:01:10,0.0075,3.5558,0.0331
48,67.11,0:01:09,0.0074,3.5265,0.0328
