Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,streamcluster,356.822605,0:05:57,0.0126,1.2388,0.0115
4,streamcluster,188.604783,0:03:09,0.0070,0.6874,0.0064
6,streamcluster,140.751467,0:02:21,0.0054,0.5311,0.0049
8,streamcluster,134.177692,0:02:14,0.0054,0.5303,0.0049
10,streamcluster,133.668104,0:02:14,0.0055,0.5383,0.0050
12,streamcluster,133.765632,0:02:14,0.0055,0.5441,0.0051
14,streamcluster,133.968682,0:02:14,0.0056,0.5526,0.0051
16,streamcluster,134.587992,0:02:15,0.0057,0.5621,0.0052
18,streamcluster,135.024647,0:02:15,0.0058,0.5726,0.0053
20,streamcluster,135.332124,0:02:15,0.0058,0.5738,0.0053
22,streamcluster,135.676638,0:02:16,0.0059,0.5768,0.0054
24,streamcluster,136.280424,0:02:16,0.0058,0.5729,0.0053
26,streamcluster,135.120186,0:02:15,0.0060,0.5862,0.0055
28,streamcluster,134.077683,0:02:14,0.0060,0.5910,0.0055
30,streamcluster,132.129492,0:02:12,0.0061,0.5963,0.0055
32,streamcluster,132.772919,0:02:13,0.0062,0.6117,0.0057
34,streamcluster,121.606854,0:02:02,0.0058,0.5753,0.0054
36,streamcluster,96.165424,0:01:36,0.0047,0.4653,0.0043
38,streamcluster,98.661993,0:01:39,0.0048,0.4677,0.0044
40,streamcluster,90.280798,0:01:30,0.0045,0.4467,0.0042
42,streamcluster,92.291500,0:01:32,0.0047,0.4605,0.0043
44,streamcluster,91.318523,0:01:31,0.0046,0.4568,0.0042
46,streamcluster,92.038195,0:01:32,0.0047,0.4633,0.0043
48,streamcluster,95.808823,0:01:36,0.0048,0.4753,0.0044
