Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,streamcluster,336.175576,0:05:36,0.0052,0.5146,0.0048
4,streamcluster,178.757139,0:02:59,0.0030,0.2969,0.0028
6,streamcluster,131.919821,0:02:12,0.0024,0.2315,0.0022
8,streamcluster,108.305444,0:01:48,0.0020,0.1994,0.0019
10,streamcluster,91.018088,0:01:31,0.0018,0.1770,0.0016
12,streamcluster,79.096366,0:01:19,0.0016,0.1622,0.0015
14,streamcluster,70.285432,0:01:10,0.0015,0.1522,0.0014
16,streamcluster,64.905515,0:01:05,0.0015,0.1464,0.0014
18,streamcluster,60.975402,0:01:01,0.0015,0.1449,0.0013
20,streamcluster,61.419694,0:01:01,0.0015,0.1510,0.0014
22,streamcluster,57.656264,0:00:58,0.0016,0.1581,0.0015
24,streamcluster,56.383309,0:00:56,0.0016,0.1591,0.0015
26,streamcluster,55.692342,0:00:56,0.0016,0.1618,0.0015
28,streamcluster,53.539863,0:00:54,0.0016,0.1576,0.0015
30,streamcluster,52.377681,0:00:52,0.0016,0.1558,0.0014
32,streamcluster,51.395170,0:00:51,0.0016,0.1564,0.0015
34,streamcluster,50.522777,0:00:51,0.0016,0.1563,0.0015
36,streamcluster,46.265362,0:00:46,0.0015,0.1462,0.0014
38,streamcluster,49.199110,0:00:49,0.0016,0.1581,0.0015
40,streamcluster,49.844689,0:00:50,0.0016,0.1613,0.0015
