Treads,App,Time,TimeCT,Energy,CO2eq,travelled
2,streamcluster,339.193275,0:05:39,0.0053,0.5203,0.0048
4,streamcluster,178.506393,0:02:59,0.0030,0.2958,0.0028
6,streamcluster,132.592506,0:02:13,0.0024,0.2313,0.0022
8,streamcluster,107.828187,0:01:48,0.0020,0.1974,0.0018
10,streamcluster,90.990568,0:01:31,0.0018,0.1753,0.0016
12,streamcluster,79.029540,0:01:19,0.0016,0.1617,0.0015
14,streamcluster,70.400212,0:01:11,0.0015,0.1521,0.0014
16,streamcluster,64.495995,0:01:05,0.0015,0.1468,0.0014
18,streamcluster,62.181093,0:01:02,0.0015,0.1469,0.0014
20,streamcluster,59.970033,0:01:00,0.0015,0.1489,0.0014
22,streamcluster,58.948535,0:00:59,0.0016,0.1596,0.0015
24,streamcluster,57.291064,0:00:57,0.0016,0.1611,0.0015
26,streamcluster,55.096509,0:00:55,0.0016,0.1586,0.0015
28,streamcluster,54.715030,0:00:55,0.0016,0.1604,0.0015
30,streamcluster,53.600585,0:00:54,0.0016,0.1599,0.0015
32,streamcluster,51.827717,0:00:52,0.0016,0.1569,0.0015
34,streamcluster,49.383824,0:00:49,0.0016,0.1526,0.0014
36,streamcluster,48.526222,0:00:49,0.0015,0.1522,0.0014
38,streamcluster,50.206866,0:00:51,0.0016,0.1609,0.0015
40,streamcluster,50.624775,0:00:51,0.0016,0.1618,0.0015
