Treads|Time|Energy|CO2eq|travelled
2|0:01:05|0,0048|2,2752|0,0212
4|0:00:42|0,0033|1,5797|0,0147
6|0:00:35|0,0029|1,3831|0,0129
8|0:00:33|0,0028|1,3529|0,0126
10|0:00:33|0,0029|1,3947|0,0130
12|0:00:33|0,0030|1,4158|0,0132
14|0:00:28|0,0026|1,2302|0,0114
16|0:00:26|0,0025|1,1745|0,0109
18|0:00:24|0,0023|1,1116|0,0103
20|0:00:21|0,0021|1,0037|0,0093
22|0:00:19|0,0020|0,9593|0,0089
24|0:00:18|0,0020|0,9324|0,0087
26|0:00:21|0,0022|1,0597|0,0099
28|0:00:22|0,0022|1,0614|0,0099
30|0:00:21|0,0022|1,0515|0,0098
32|0:00:24|0,0024|1,1540|0,0107
34|0:00:24|0,0025|1,1815|0,0110
36|0:00:24|0,0025|1,1696|0,0109
38|0:00:24|0,0025|1,1664|0,0109
40|0:00:21|0,0023|1,0765|0,0100
42|0:00:22|0,0023|1,1033|0,0103
44|0:00:21|0,0023|1,0720|0,0100
46|0:00:20|0,0023|1,0695|0,0099
48|0:00:20|0,0023|1,0692|0,0099
